"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","EL","=~","Q4_3","",1,0,NA,NA,1,1,0.661932892251316,0.781884908370818,0.781884908370818
"2","EL","=~","Q4_4","lam44",1.0308143614245,0.0487683626999913,21.1369483073641,0,0.935230126947532,1.12639859590147,0.682329931631914,0.805747644806189,0.805747644806189
"3","EL","=~","Q4_5","lam45",0.988590544931455,0.0684532229442578,14.441840755058,0,0.854424693335019,1.12275639652789,0.654380598658783,0.752409349412551,0.752409349412551
"4","EL","=~","Q4_9","lam49",0.995140155507485,0.0855419521820203,11.6333580205181,0,0.827481010063477,1.16279930095149,0.658716001330494,0.682645523501824,0.682645523501824
"5","EL","=~","Q4_11","lam411",1.0967451022613,0.0753390318674028,14.5574621159398,0,0.949083313171075,1.24440689135152,0.725971657602287,0.763824090958633,0.763824090958633
"6","EL","=~","Q4_15","lam415",0.943028907206016,0.0648311311434347,14.545927096654,0,0.815962225087891,1.07009558932414,0.624221852023476,0.707500661928354,0.707500661928354
"7","EL","=~","Q4_18","lam418",0.963767973979683,0.0620353535790532,15.5357859410204,0,0.842180915196531,1.08535503276284,0.637949722475563,0.80841170524799,0.80841170524799
"8","SC","=~","Q5_1","",1,0,NA,NA,1,1,0.615146119053778,0.647275641220586,0.647275641220586
"9","SC","=~","Q5_2","lam52",1.06650465833393,0.0972791408959711,10.9633437190243,0,0.875841045730827,1.25716827093703,0.656056201526891,0.649369752225611,0.649369752225611
"10","SC","=~","Q5_3","lam53",1.14941299032285,0.10086477006791,11.395584301129,0,0.951721673680837,1.34710430696487,0.707056940187101,0.68001839899212,0.68001839899212
"11","SC","=~","Q5_5","lam55",1.18724215620957,0.11512009224147,10.313075094826,0,0.961610921519364,1.41287339089978,0.730327404769359,0.690253719723813,0.690253719723813
"12","SC","=~","Q5_6","lam56",1.11891890534832,0.098835288479006,11.3210465873835,0,0.925205299527838,1.31263251116879,0.688298622160919,0.748373347339768,0.748373347339768
"13","SC","=~","Q5_12","lam512",1.04247927254875,0.0967780836979034,10.7718528071179,0,0.852797714008055,1.23216083108944,0.641277078702368,0.634128753536999,0.634128753536999
"14","IN","=~","Q6_2","",1,0,NA,NA,1,1,0.626653694840888,0.689957958463742,0.689957958463742
"15","IN","=~","Q6_5","lam65",0.870921790041576,0.11133221257447,7.82272955779999,5.10702591327572e-15,0.652714663076458,1.08912891700669,0.545766357646993,0.496957934081279,0.496957934081279
"16","IN","=~","Q6_6","lam66",1.00836041507045,0.0840574200237258,11.9960904675141,0,0.843610899190587,1.1731099309503,0.631892779835186,0.80427995709613,0.80427995709613
"17","IN","=~","Q6_7","lam67",1.18356431524603,0.10608700637393,11.1565436305579,0,0.975637603525452,1.3914910269666,0.741684951230747,0.847287144019441,0.847287144019441
"18","IN","=~","Q6_8","lam68",1.07009307688446,0.0852644269643408,12.550287558163,0,0.902977870871909,1.23720828289702,0.670577780453303,0.804787327380275,0.804787327380275
"19","IN","=~","Q6_11","lam611",1.04576481110339,0.112445647073751,9.30018047223734,0,0.825375392620539,1.26615422958625,0.655332382812525,0.671854682548729,0.671854682548729
"20","EN","=~","Q7_2","",1,0,NA,NA,1,1,0.676371897955728,0.76293358469875,0.76293358469875
"21","EN","=~","Q7_4","lam74",0.938223060061122,0.0692237142724018,13.5534920355346,0,0.802547073211123,1.07389904691112,0.634587711839372,0.673958293733423,0.673958293733423
"22","EN","=~","Q7_5","lam75",1.07513286147776,0.0760995753718785,14.127974515283,0,0.925980434510086,1.22428528844543,0.727189654072285,0.772305784389538,0.772305784389538
"23","EN","=~","Q7_7","lam77",1.04672354030669,0.101806550604088,10.2814949931586,0,0.847186367732417,1.24626071288095,0.707974387592171,0.664100196301596,0.664100196301596
"24","EN","=~","Q7_8","lam78",1.06737393966097,0.0782385157715742,13.6425637569261,0,0.914029266544811,1.22071861277712,0.721941737396969,0.771480715490925,0.771480715490925
"25","EN","=~","Q7_14","lam714",0.894778885616846,0.103994876602889,8.60406699681579,0,0.690952672898497,1.09860509833519,0.605203293115377,0.580736661724896,0.580736661724896
"26","EL","~~","EL","",0.438155153844192,0.0631243014536545,6.94114855537662,3.88933329986685e-12,0.31443379644578,0.561876511242605,1,1,1
"27","EL","~~","SC","",0.271572935497148,0.0468431729293393,5.79749232416009,6.73138611517743e-09,0.179762003634062,0.363383867360235,0.666951473017831,0.666951473017831,0.666951473017831
"28","EL","~~","IN","",0.30701145976531,0.0488220646929404,6.28837517823583,3.20805826348192e-10,0.211321971316262,0.402700948214358,0.740138541030433,0.740138541030433,0.740138541030433
"29","EL","~~","EN","",0.326274771396953,0.0469933254684818,6.94300239755929,3.83848508533902e-12,0.23416954596496,0.418379996828946,0.72875907624201,0.72875907624201,0.72875907624201
"30","SC","~~","SC","",0.378404747786925,0.0611732011448029,6.18579280968482,6.179112777005e-10,0.258507476724087,0.498302018849763,1,1,1
"31","SC","~~","IN","",0.249372068815725,0.0450636925156315,5.53376909202955,3.13421533171265e-08,0.1610488544747,0.33769528315675,0.64690709627571,0.64690709627571,0.64690709627571
"32","SC","~~","EN","",0.340515058512051,0.0471897141497366,7.21587457452212,5.35793631684101e-13,0.248024918337827,0.433005198686275,0.818412923805487,0.818412923805487,0.818412923805487
